V01Label,V01Session,Disposition,Detail
Context Window,W3Tu,optional / cut,
Sensor Data Stream,W3Tu,kept: taught,
Threshold Check,W3Tu,kept: taught,
Agent-Drafted Inspection Flag,W3Tu,lab example (not a graded concept),
Distribution,W3Th,kept: taught,
Histogram,W3Th,kept: taught,
Normal Distribution,W3Th,kept: taught,
Skewed Distribution,W3Th,kept: taught,
Outliers,W3Th,kept: taught,
Fatigue Test Data,W3Th,lab example (not a graded concept),
Auditing an Agent's Analysis,W3Th,kept: taught,
AI Bias,W4Tu,kept: taught,
Training Data Bias,W4Tu,kept: taught,
Representative Sample,W4Tu,kept: taught,
Distribution Shift,W4Tu,kept: taught,
Out-of-Domain Use,W4Tu,kept: taught,
Damage Detection Model,W4Tu,lab example (not a graded concept),
Training Coverage Gap,W4Tu,kept: taught,
Scatter Plot,W4Th,kept: taught,
Correlation Coefficient,W4Th,kept: taught,
Linear Regression,W4Th,kept: taught,
R-Squared,W4Th,kept: taught,
Concrete Mix Design Variables,W4Th,lab example (not a graded concept),
Multiple Regression,W4Th,optional / cut,
Correlation Versus Causation,W4Th,kept: taught,
Spurious Correlation,W4Th,kept: taught,
Confounding Variable,W4Th,merged,Spurious Correlation
AI Overconfidence,W5Tu,kept: taught,
False Precision,W5Tu,kept: taught,
Model Calibration,W5Tu,optional / cut,
Predicted Fatigue Life,W5Tu,lab example (not a graded concept),
Precision Versus Accuracy,W5Tu,merged,Random Versus Systematic Error
Statistical Basis for a Claim,W5Tu,kept: taught,
Random Sampling,W5Th,kept: hole filled and taught,hole: sampling
Sampling Variability,W5Th,kept: hole filled and taught,hole: sampling
Standard Error,W5Th,kept: hole filled and taught,hole: sampling
The t Multiplier,W5Th,kept: hole filled and taught,hole: sampling
Confidence Interval,W5Th,kept: taught,
Confidence Level,W5Th,kept: taught,
Statistical Significance,W5Th,kept: taught,
P-Value,W5Th,merged,Statistical Significance
Yield Strength From Coupons,W5Th,lab example (not a graded concept),
Dashboard,W6Tu,kept: taught,
Dashboard Metrics,W6Tu,merged,Dashboard
Time Series Data,W6Tu,kept: taught,
Agent-Built Report,W6Tu,kept: taught,
Agent Autonomy,W6Tu,kept: taught,
Human Review Checkpoint,W6Tu,kept: taught,
Stale Data,W6Tu,optional / cut,
Chart Type Selection,W6Th,kept: taught,
Axis Scales and Baselines,W6Th,kept: taught,
Logarithmic Scale,W6Th,optional / cut,
Misleading Charts,W6Th,kept: taught,
Critiquing AI-Generated Charts,W6Th,kept: taught,
Frequency of a Signal,W6Th,lab example (not a graded concept),
Vibration Spectrum,W6Th,lab example (not a graded concept),
Data Pipeline,W7Tu,kept: taught,
Data Ingestion,W7Tu,kept: taught,
Unit and Format Mismatch,W7Tu,kept: taught,
Data Cleaning,W7Tu,kept: taught,
Missing and Bad Data,W7Tu,kept: taught,
Simple Engineering Model,W7Tu,lab example (not a graded concept),
Errors Through a Pipeline,W7Tu,kept: taught,
Variables,W7pre,kept: async module,
Data Types,W7pre,merged,Variables
Functions in Code,W7pre,kept: async module,
Conditionals,W7pre,kept: async module,
Loops,W7pre,merged,Conditionals
Libraries and Imports,W7pre,merged,Functions in Code
Reading Error Messages,W7pre,kept: async module,
AI Code Generation,W8Tu,kept: taught,
Code as Predicted Text,W8Tu,merged,AI Code Generation
Code Training Data,W8Tu,merged,AI Code Generation
Plausible but Wrong Code,W8Tu,kept: taught,
Python Script,W8Tu,kept: taught,
Prompting for Code,W8Tu,kept: taught,
Running a Script,W8Tu,kept: taught,
Deflection Calculation Script,W8Tu,lab example (not a graded concept),
Vibe Coding,W8Th,kept: taught,
Plain-Language Specification,W8Th,kept: taught,
Describe-Generate-Test Loop,W8Th,kept: taught,
Iterative Prompt Refinement,W8Th,merged,Describe-Generate-Test Loop
Test Case,W8Th,kept: taught,
Reading AI-Generated Code,W8Th,kept: taught,
Truss Analysis Tool,W8Th,lab example (not a graded concept),
Gear Ratio Calculator,W8Th,lab example (not a graded concept),
Agentic Coding Tool,W9Tu,kept: taught,
Unit Test,W9Tu,kept: taught,
Test Runner Pass and Fail,W9Tu,merged,Unit Test
Agent-Written Tests,W9Tu,kept: taught,
Analytical Solution,W9Tu,kept: taught,
Cantilever Beam Deflection,W9Tu,lab example (not a graded concept),
Numerical Tolerance,W9Tu,kept: taught,
Tests Written by the Same AI,W9Tu,kept: taught,
Known-Answer Check,W9Th,kept: taught,
Hand Calculation Check,W9Th,kept: taught,
Unit and Dimension Check,W9Th,kept: taught,
Order-of-Magnitude Check,W9Th,kept: taught,
Edge Cases and Limits,W9Th,kept: taught,
Flow or Stress Calculation Code,W9Th,lab example (not a graded concept),
Investigating a Discrepancy,W9Th,kept: taught,
Software Bug,W10Tu,kept: taught,
Debugging,W10Tu,kept: taught,
Isolating a Failing Step,W10Tu,kept: taught,
Multi-Step Agent Workflow,W10Tu,kept: taught,
Tracing an Agent Failure,W10Tu,kept: taught,
Compounding Workflow Errors,W10Tu,kept: taught,
Thermal Resistance,W10Tu,lab example (not a graded concept),
Wall Heat Transfer Model,W10Tu,lab example (not a graded concept),
Debugging With AI,W10Th,kept: taught,
Giving AI Error Context,W10Th,kept: taught,
Root Cause Versus Symptom,W10Th,kept: taught,
Re-Testing After a Fix,W10Th,kept: taught,
Scoping a Design Tool,W10Th,kept: taught,
Beam Sizing Tool,W10Th,lab example (not a graded concept),
HVAC Load Calculator,W10Th,lab example (not a graded concept),
Gear Design Checker,W10Th,lab example (not a graded concept),
Iterative Design Loop,W11Tu,kept: taught,
Load Case,W11Tu,merged,Design Across Load Cases
Design Across Load Cases,W11Tu,kept: taught,
Parameter Sweep,W11Tu,kept: taught,
Factor of Safety,W11Tu,lab example (not a graded concept),
Bracket Design Check,W11Tu,lab example (not a graded concept),
Design Convergence,W11Tu,kept: taught,
Agent Drift From Requirements,W11Tu,kept: taught,
Engineering Calculation Tool,W11Th,kept: taught,
Inputs and Outputs,W11Th,kept: taught,
Input Validation,W11Th,kept: taught,
Documented Assumptions,W11Th,kept: taught,
Footing Size Calculator,W11Th,lab example (not a graded concept),
Heat Exchanger Sizing Tool,W11Th,lab example (not a graded concept),
Validating Against a Reference,W11Th,kept: taught,
AI Research Assistant,W12Tu,kept: taught,
Literature Summary,W12Tu,kept: taught,
Citation Verification,W12Tu,kept: taught,
Source Quality,W12Tu,merged,Citation Verification
Fabricated References,W12Tu,merged,Citation Verification
Corroborating Across Sources,W12Tu,optional / cut,
Materials Selection Question,W12Tu,lab example (not a graded concept),
Design Tradeoff,W12Th,kept: taught,
Objective and Constraints,W12Th,merged,Design Tradeoff
Weight Versus Strength,W12Th,lab example (not a graded concept),
Cost Versus Energy Efficiency,W12Th,lab example (not a graded concept),
Sensitivity Analysis,W12Th,optional / cut,
AI-Assisted Tradeoff Analysis,W12Th,kept: taught,
Uncertainty in Tradeoff Inputs,W12Th,optional / cut,
Engineering Judgment,W12Th,kept: taught,
Risk and Consequence,W13Tu,kept: taught,
Failure Mode,W13Tu,kept: taught,
Autonomous AI Systems,W13Tu,kept: taught,
Self-Monitoring Structure,W13Tu,lab example (not a graded concept),
Human in the Loop,W13Tu,kept: taught,
Accountability for AI Decisions,W13Tu,kept: taught,
AI Ethics,W13Tu,kept: taught,
Explainability,W13Tu,kept: taught,
Verifying Agent Output,W14Tu,kept: taught,
Code Compliance Check,W14Tu,kept: taught,
AI-Suggested Design Change,W14Tu,lab example (not a graded concept),
Independent Verification,W14Tu,kept: taught,
Traceability of AI Steps,W14Tu,merged,Documenting Verification
Verification Checklist,W14Tu,kept: taught,
Documenting Verification,W14Tu,kept: taught,
Safety-Critical System,W14Th,kept: taught,
Professional Engineer Licensure,W14Th,kept: taught,
PE Stamp,W14Th,merged,Professional Engineer Licensure
Responsible Charge,W14Th,kept: taught,
Standard of Care,W14Th,optional / cut,
AI-Assisted Accountability,W14Th,kept: taught,
Engineering Code of Ethics,W14Th,optional / cut,
Disclosing AI Use,W14Th,kept: taught,
Limits of AI,W15Tu,kept: taught,
Missed Failure Mode,W15Tu,kept: taught,
Conditions Beyond Training,W15Tu,kept: taught,
Physical Reasoning Gaps,W15Tu,merged,Tacit and Site Knowledge
Missed Code Requirement,W15Tu,merged,Missed Failure Mode
Tacit and Site Knowledge,W15Tu,kept: taught,
Judgment Catching AI Errors,W15Tu,kept: taught,
When Not to Use AI,W15Tu,kept: taught,
Presenting Technical Work,W15Th,"cut (assessment skill, not a concept)",
Presenting Verification Evidence,W15Th,"cut (assessment skill, not a concept)",
Stating Tool Limits,W15Th,"cut (assessment skill, not a concept)",
Defending Design Choices,W15Th,"cut (assessment skill, not a concept)",
Reflecting on AI Use,W16,kept: taught,
